epoch: 10, wins per 10: 5, avg checkers diff: -2.5
epoch: 920, loss = 1.395, wins per 10: 9, avg checkers diff: 10.1
epoch: 930, loss = 2.218, wins per 10: 9, avg checkers diff: 11.0
epoch: 940, loss = 2.503, wins per 10: 9, avg checkers diff: 7.7
epoch: 950, loss = 0.880, wins per 10: 8, avg checkers diff: 6.9
epoch: 960, loss = 2.015, wins per 10: 7, avg checkers diff: 6.5
epoch: 970, loss = 1.346, wins per 10: 6, avg checkers diff: 4.3
epoch: 980, loss = 1.791, wins per 10: 8, avg checkers diff: 9.0
epoch: 990, loss = 1.965, wins per 10: 9, avg checkers diff: 10.5
epoch: 1000, loss = 1.832, wins per 100: 79, avg checkers diff: 7.72
finished testing: 64.0 %
saved checkpoint
epoch: 1010, loss = 3.322, wins per 10: 8, avg checkers diff: 9.0
epoch: 1020, loss = 1.619, wins per 10: 7, avg checkers diff: 5.5
epoch: 1030, loss = 3.064, wins per 10: 8, avg checkers diff: 9.4
epoch: 1040, loss = 2.515, wins per 10: 7, avg checkers diff: 8.0
epoch: 1050, loss = 1.660, wins per 10: 8, avg checkers diff: 7.8
epoch: 1060, loss = 4.333, wins per 10: 9, avg checkers diff: 9.0
epoch: 1070, loss = 2.198, wins per 10: 10, avg checkers diff: 14.6
epoch: 1080, loss = 2.110, wins per 10: 9, avg checkers diff: 9.0
epoch: 1090, loss = 2.273, wins per 10: 7, avg checkers diff: 6.9
epoch: 1100, loss = 2.246, wins per 100: 82, avg checkers diff: 8.99
epoch: 1110, loss = 1.243, wins per 10: 7, avg checkers diff: 8.3
epoch: 1120, loss = 2.274, wins per 10: 9, avg checkers diff: 11.8
epoch: 1130, loss = 2.607, wins per 10: 7, avg checkers diff: 7.1
epoch: 1140, loss = 2.612, wins per 10: 7, avg checkers diff: 6.2
epoch: 1150, loss = 2.002, wins per 10: 7, avg checkers diff: 4.2
epoch: 1160, loss = 2.669, wins per 10: 9, avg checkers diff: 10.2
epoch: 1170, loss = 3.882, wins per 10: 8, avg checkers diff: 8.0
epoch: 1180, loss = 3.675, wins per 10: 6, avg checkers diff: 4.5
epoch: 1190, loss = 3.520, wins per 10: 9, avg checkers diff: 11.0
epoch: 1200, loss = 2.364, wins per 100: 77, avg checkers diff: 8.04
finished testing: 75.0 %
epoch: 1210, loss = 4.083, wins per 10: 4, avg checkers diff: 2.6
