epoch: 10, wins per 10: 6, avg checkers diff: 2.3
epoch: 940, loss = 76.539, wins per 10: 6, avg checkers diff: 2.8
epoch: 950, loss = 106.224, wins per 10: 5, avg checkers diff: 0.6
epoch: 960, loss = 173.600, wins per 10: 8, avg checkers diff: 7.3
epoch: 970, loss = 150.655, wins per 10: 7, avg checkers diff: 7.0
epoch: 980, loss = 37.067, wins per 10: 7, avg checkers diff: 6.9
epoch: 990, loss = 119.301, wins per 10: 9, avg checkers diff: 10.3
epoch: 1000, loss = 149.238, wins per 100: 75, avg checkers diff: 7.37
finished testing: 72.0 %
saved checkpoint
epoch: 1010, loss = 130.832, wins per 10: 8, avg checkers diff: 5.8
epoch: 1020, loss = 103.160, wins per 10: 10, avg checkers diff: 11.2
epoch: 1030, loss = 133.058, wins per 10: 7, avg checkers diff: 6.4
epoch: 1040, loss = 98.183, wins per 10: 9, avg checkers diff: 8.3
epoch: 1050, loss = 187.240, wins per 10: 7, avg checkers diff: 7.6
epoch: 1060, loss = 72.262, wins per 10: 10, avg checkers diff: 12.8
epoch: 1070, loss = 113.965, wins per 10: 7, avg checkers diff: 5.9
epoch: 1080, loss = 165.207, wins per 10: 8, avg checkers diff: 9.1
epoch: 1090, loss = 119.857, wins per 10: 6, avg checkers diff: 3.1
epoch: 1100, loss = 163.480, wins per 100: 80, avg checkers diff: 7.77
epoch: 1110, loss = 103.495, wins per 10: 7, avg checkers diff: 5.3
epoch: 1120, loss = 122.096, wins per 10: 9, avg checkers diff: 7.5
epoch: 1130, loss = 121.965, wins per 10: 7, avg checkers diff: 5.3
epoch: 1140, loss = 43.945, wins per 10: 10, avg checkers diff: 12.0
epoch: 1150, loss = 37.883, wins per 10: 6, avg checkers diff: 1.6
epoch: 1160, loss = 58.372, wins per 10: 8, avg checkers diff: 6.9
epoch: 1170, loss = 65.548, wins per 10: 8, avg checkers diff: 8.7
epoch: 1180, loss = 88.214, wins per 10: 7, avg checkers diff: 8.2
epoch: 1190, loss = 50.101, wins per 10: 8, avg checkers diff: 8.6
epoch: 1200, loss = 47.103, wins per 100: 80, avg checkers diff: 7.42
finished testing: 78.0 %
