epoch: 10, wins per 10: 4, avg checkers diff: -5.7
epoch: 940, loss = 86.272, wins per 10: 9, avg checkers diff: 11.3
epoch: 950, loss = 160.236, wins per 10: 9, avg checkers diff: 10.7
epoch: 960, loss = 188.779, wins per 10: 9, avg checkers diff: 11.2
epoch: 970, loss = 44.277, wins per 10: 8, avg checkers diff: 6.7
epoch: 980, loss = 146.591, wins per 10: 8, avg checkers diff: 8.4
epoch: 990, loss = 92.489, wins per 10: 7, avg checkers diff: 7.3
epoch: 1000, loss = 104.435, wins per 100: 87, avg checkers diff: 10.28
finished testing: 82.0 %
saved checkpoint
epoch: 1010, loss = 98.245, wins per 10: 8, avg checkers diff: 7.5
epoch: 1020, loss = 49.154, wins per 10: 9, avg checkers diff: 11.3
epoch: 1030, loss = 86.246, wins per 10: 9, avg checkers diff: 10.9
epoch: 1040, loss = 164.198, wins per 10: 8, avg checkers diff: 7.9
epoch: 1050, loss = 88.038, wins per 10: 10, avg checkers diff: 12.7
epoch: 1060, loss = 110.122, wins per 10: 9, avg checkers diff: 11.9
epoch: 1070, loss = 148.234, wins per 10: 9, avg checkers diff: 12.2
epoch: 1080, loss = 143.432, wins per 10: 9, avg checkers diff: 10.3
epoch: 1090, loss = 125.289, wins per 10: 8, avg checkers diff: 8.6
epoch: 1100, loss = 182.622, wins per 100: 87, avg checkers diff: 10.17
epoch: 1110, loss = 346.116, wins per 10: 10, avg checkers diff: 12.9
epoch: 1120, loss = 197.130, wins per 10: 8, avg checkers diff: 8.2
epoch: 1130, loss = 308.265, wins per 10: 8, avg checkers diff: 10.8
epoch: 1140, loss = 362.061, wins per 10: 9, avg checkers diff: 12.2
epoch: 1150, loss = 253.783, wins per 10: 8, avg checkers diff: 7.4
epoch: 1160, loss = 174.980, wins per 10: 8, avg checkers diff: 9.3
epoch: 1170, loss = 144.561, wins per 10: 10, avg checkers diff: 13.2
epoch: 1180, loss = 131.577, wins per 10: 9, avg checkers diff: 10.6
epoch: 1190, loss = 224.044, wins per 10: 8, avg checkers diff: 8.2
epoch: 1200, loss = 154.994, wins per 100: 87, avg checkers diff: 10.37
finished testing: 72.0 %
epoch: 1210, loss = 289.946, wins per 10: 10, avg checkers diff: 11.6
epoch: 1220, loss = 226.150, wins per 10: 7, avg checkers diff: 6.4
epoch: 1230, loss = 136.091, wins per 10: 8, avg checkers diff: 9.1
epoch: 1240, loss = 345.784, wins per 10: 8, avg checkers diff: 8.7
epoch: 1250, loss = 295.304, wins per 10: 10, avg checkers diff: 12.6
epoch: 1260, loss = 256.846, wins per 10: 8, avg checkers diff: 8.9
epoch: 1270, loss = 187.026, wins per 10: 7, avg checkers diff: 5.6
epoch: 1280, loss = 268.886, wins per 10: 8, avg checkers diff: 8.1
epoch: 1290, loss = 154.128, wins per 10: 10, avg checkers diff: 13.7
epoch: 1300, loss = 526.359, wins per 100: 85, avg checkers diff: 9.51
epoch: 1310, loss = 467.809, wins per 10: 8, avg checkers diff: 6.6
