epoch: 10, wins per 10: 4, avg checkers diff: -4.7
epoch: 20, wins per 10: 2, avg checkers diff: -8.7
epoch: 30, wins per 10: 2, avg checkers diff: -7.3
epoch: 40, wins per 10: 1, avg checkers diff: -12.4
epoch: 50, wins per 10: 3, avg checkers diff: -4.6
epoch: 60, wins per 10: 3, avg checkers diff: -6.4
epoch: 880, loss = 0.419, wins per 10: 2, avg checkers diff: -7.9
epoch: 890, loss = 1.387, wins per 10: 3, avg checkers diff: -5.8
epoch: 900, loss = 0.619, wins per 10: 3, avg checkers diff: -8.5
epoch: 910, loss = 0.727, wins per 10: 1, avg checkers diff: -11.0
epoch: 920, loss = 0.729, wins per 10: 4, avg checkers diff: -2.9
epoch: 930, loss = 1.685, wins per 10: 3, avg checkers diff: -7.2
epoch: 940, loss = 1.349, wins per 10: 3, avg checkers diff: -5.8
epoch: 950, loss = 1.858, wins per 10: 3, avg checkers diff: -5.5
epoch: 960, loss = 1.213, wins per 10: 2, avg checkers diff: -7.6
epoch: 970, loss = 1.211, wins per 10: 3, avg checkers diff: -5.6
epoch: 980, loss = 0.640, wins per 10: 1, avg checkers diff: -10.8
epoch: 990, loss = 1.075, wins per 10: 2, avg checkers diff: -8.5
epoch: 1000, loss = 1.118, wins per 10: 3, avg checkers diff: -5.7
finished testing
saved checkpoint
epoch: 1010, loss = 1.094, wins per 10: 2, avg checkers diff: -8.1
epoch: 1020, loss = 0.736, wins per 10: 2, avg checkers diff: -7.8
epoch: 1030, loss = 0.821, wins per 10: 0, avg checkers diff: -12.4
epoch: 1040, loss = 0.765, wins per 10: 1, avg checkers diff: -10.5
epoch: 1050, loss = 1.224, wins per 10: 0, avg checkers diff: -10.9
epoch: 1060, loss = 1.613, wins per 10: 2, avg checkers diff: -6.5
epoch: 1070, loss = 1.072, wins per 10: 3, avg checkers diff: -3.4
epoch: 1080, loss = 1.700, wins per 10: 3, avg checkers diff: -4.9
epoch: 1090, loss = 1.559, wins per 10: 5, avg checkers diff: -1.4
epoch: 1100, loss = 1.829, wins per 10: 4, avg checkers diff: -1.3
epoch: 1110, loss = 1.144, wins per 10: 1, avg checkers diff: -10.5
epoch: 1120, loss = 2.236, wins per 10: 2, avg checkers diff: -9.4
epoch: 1130, loss = 0.826, wins per 10: 3, avg checkers diff: -5.6
epoch: 1140, loss = 1.001, wins per 10: 4, avg checkers diff: -2.6
epoch: 1150, loss = 0.866, wins per 10: 3, avg checkers diff: -7.4
epoch: 1160, loss = 1.037, wins per 10: 2, avg checkers diff: -9.3
epoch: 1170, loss = 1.112, wins per 10: 4, avg checkers diff: -2.2
epoch: 1180, loss = 1.611, wins per 10: 4, avg checkers diff: -2.4
epoch: 1190, loss = 0.773, wins per 10: 3, avg checkers diff: -6.0
epoch: 1200, loss = 2.427, wins per 10: 1, avg checkers diff: -10.2
finished testing
epoch: 1210, loss = 1.020, wins per 10: 3, avg checkers diff: -6.0
epoch: 1220, loss = 1.388, wins per 10: 4, avg checkers diff: -4.5
epoch: 1230, loss = 2.471, wins per 10: 4, avg checkers diff: -4.9
epoch: 1240, loss = 2.862, wins per 10: 3, avg checkers diff: -6.9
epoch: 1250, loss = 0.979, wins per 10: 2, avg checkers diff: -7.0
epoch: 1260, loss = 0.689, wins per 10: 0, avg checkers diff: -11.1
epoch: 1270, loss = 0.665, wins per 10: 2, avg checkers diff: -7.2
epoch: 1280, loss = 2.172, wins per 10: 3, avg checkers diff: -5.3
epoch: 1290, loss = 1.924, wins per 10: 1, avg checkers diff: -10.8
epoch: 1300, loss = 1.252, wins per 10: 2, avg checkers diff: -7.4
epoch: 1310, loss = 1.379, wins per 10: 0, avg checkers diff: -11.5
epoch: 1320, loss = 1.002, wins per 10: 0, avg checkers diff: -13.5
epoch: 1330, loss = 2.174, wins per 10: 2, avg checkers diff: -7.8
epoch: 1340, loss = 1.744, wins per 10: 1, avg checkers diff: -11.5
epoch: 1350, loss = 1.433, wins per 10: 1, avg checkers diff: -9.6
epoch: 1360, loss = 0.761, wins per 10: 0, avg checkers diff: -11.8
epoch: 1370, loss = 1.049, wins per 10: 2, avg checkers diff: -9.2
epoch: 1380, loss = 1.406, wins per 10: 3, avg checkers diff: -5.5
epoch: 1390, loss = 0.634, wins per 10: 1, avg checkers diff: -9.9
epoch: 1400, loss = 1.217, wins per 10: 2, avg checkers diff: -7.6
finished testing
epoch: 1410, loss = 1.922, wins per 10: 2, avg checkers diff: -7.3
epoch: 1420, loss = 0.578, wins per 10: 7, avg checkers diff: 4.9
epoch: 1430, loss = 2.152, wins per 10: 2, avg checkers diff: -8.9
epoch: 1440, loss = 2.015, wins per 10: 3, avg checkers diff: -3.4
epoch: 1450, loss = 0.899, wins per 10: 2, avg checkers diff: -10.0
epoch: 1460, loss = 0.665, wins per 10: 2, avg checkers diff: -7.8
epoch: 1470, loss = 3.599, wins per 10: 1, avg checkers diff: -8.7
epoch: 1480, loss = 0.868, wins per 10: 0, avg checkers diff: -11.7
epoch: 1490, loss = 1.610, wins per 10: 2, avg checkers diff: -8.1
epoch: 1500, loss = 1.435, wins per 10: 2, avg checkers diff: -8.6
epoch: 1510, loss = 2.567, wins per 10: 3, avg checkers diff: -5.6
epoch: 1520, loss = 0.591, wins per 10: 3, avg checkers diff: -6.8
epoch: 1530, loss = 1.096, wins per 10: 3, avg checkers diff: -5.3
epoch: 1540, loss = 0.993, wins per 10: 4, avg checkers diff: -4.0
epoch: 1550, loss = 2.383, wins per 10: 2, avg checkers diff: -7.8
epoch: 1560, loss = 3.847, wins per 10: 3, avg checkers diff: -6.0
epoch: 1570, loss = 0.882, wins per 10: 2, avg checkers diff: -10.1
epoch: 1580, loss = 1.298, wins per 10: 4, avg checkers diff: -3.0
