epoch: 1010, loss = 11.708, wins per 10: 4, avg checkers diff: -1.6
epoch: 1020, loss = 4.511, wins per 10: 4, avg checkers diff: -2.9
epoch: 1030, loss = 9.301, wins per 10: 3, avg checkers diff: -3.9
epoch: 1040, loss = 11.388, wins per 10: 3, avg checkers diff: -3.1
epoch: 1050, loss = 10.342, wins per 10: 3, avg checkers diff: -5.6
epoch: 1060, loss = 11.306, wins per 10: 4, avg checkers diff: -4.2
epoch: 1070, loss = 14.857, wins per 10: 5, avg checkers diff: -1.8
epoch: 1080, loss = 9.533, wins per 10: 1, avg checkers diff: -11.0
epoch: 1090, loss = 11.315, wins per 10: 2, avg checkers diff: -9.2
epoch: 1100, loss = 6.980, wins per 100: 31, avg checkers diff: -5.31
epoch: 1110, loss = 4.698, wins per 10: 2, avg checkers diff: -8.6
epoch: 1120, loss = 6.558, wins per 10: 3, avg checkers diff: -3.9
epoch: 1130, loss = 7.251, wins per 10: 4, avg checkers diff: -2.9
epoch: 1140, loss = 5.218, wins per 10: 2, avg checkers diff: -7.5
epoch: 1150, loss = 5.392, wins per 10: 1, avg checkers diff: -9.4
epoch: 1160, loss = 7.260, wins per 10: 2, avg checkers diff: -10.1
epoch: 1170, loss = 7.458, wins per 10: 3, avg checkers diff: -7.2
epoch: 1180, loss = 12.253, wins per 10: 3, avg checkers diff: -7.6
epoch: 1190, loss = 4.190, wins per 10: 3, avg checkers diff: -5.4
epoch: 1200, loss = 7.472, wins per 100: 28, avg checkers diff: -6.28
finished testing: 20.666666666666668 %
epoch: 1210, loss = 5.577, wins per 10: 4, avg checkers diff: -3.6
epoch: 1220, loss = 4.617, wins per 10: 1, avg checkers diff: -10.3
epoch: 1230, loss = 5.242, wins per 10: 2, avg checkers diff: -8.3
epoch: 1240, loss = 3.266, wins per 10: 5, avg checkers diff: -1.5
epoch: 1250, loss = 6.716, wins per 10: 2, avg checkers diff: -7.4
epoch: 1260, loss = 6.774, wins per 10: 5, avg checkers diff: -1.7
epoch: 1270, loss = 3.714, wins per 10: 2, avg checkers diff: -5.9
epoch: 1280, loss = 10.898, wins per 10: 3, avg checkers diff: -5.4
