epoch: 10, wins per 10: 7, avg checkers diff: 8.0
epoch: 20, wins per 10: 6, avg checkers diff: 3.3
epoch: 30, wins per 10: 5, avg checkers diff: 0.6
epoch: 40, wins per 10: 7, avg checkers diff: 6.3
epoch: 50, wins per 10: 8, avg checkers diff: 6.4
epoch: 60, wins per 10: 6, avg checkers diff: 1.3
epoch: 70, wins per 10: 8, avg checkers diff: 8.2
epoch: 80, wins per 10: 3, avg checkers diff: -4.2
epoch: 90, wins per 10: 6, avg checkers diff: 5.4
epoch: 100, wins per 100: 62, avg checkers diff: 3.9
epoch: 110, wins per 10: 2, avg checkers diff: -4.1
epoch: 120, wins per 10: 8, avg checkers diff: 6.1
epoch: 130, wins per 10: 5, avg checkers diff: -0.5
epoch: 140, wins per 10: 4, avg checkers diff: -2.8
epoch: 150, wins per 10: 6, avg checkers diff: 1.6
epoch: 160, wins per 10: 6, avg checkers diff: 3.5
epoch: 170, wins per 10: 6, avg checkers diff: 2.2
epoch: 180, wins per 10: 4, avg checkers diff: -0.9
epoch: 190, wins per 10: 8, avg checkers diff: 8.4
epoch: 200, wins per 100: 55, avg checkers diff: 1.82
game = 49
