epoch: 10, wins per 10: 9, avg checkers diff: 6.1
epoch: 20, wins per 10: 6, avg checkers diff: 4.4
epoch: 30, wins per 10: 5, avg checkers diff: 1.9
epoch: 40, wins per 10: 7, avg checkers diff: 6.2
epoch: 50, wins per 10: 6, avg checkers diff: 3.7
epoch: 60, wins per 10: 8, avg checkers diff: 8.3
epoch: 70, wins per 10: 7, avg checkers diff: 5.8
epoch: 80, wins per 10: 8, avg checkers diff: 7.8
epoch: 90, wins per 10: 8, avg checkers diff: 7.1
epoch: 100, loss = 0.551, wins per 10: 7, avg checkers diff: 2.4
epoch: 110, loss = 0.985, wins per 10: 9, avg checkers diff: 9.6
epoch: 120, loss = 0.563, wins per 10: 7, avg checkers diff: 5.9
epoch: 130, loss = 0.716, wins per 10: 7, avg checkers diff: 5.4
epoch: 140, loss = 0.700, wins per 10: 7, avg checkers diff: 3.1
epoch: 150, loss = 0.355, wins per 10: 6, avg checkers diff: 0.9
epoch: 160, loss = 0.532, wins per 10: 7, avg checkers diff: 6.1
epoch: 170, loss = 0.798, wins per 10: 6, avg checkers diff: 1.9
epoch: 180, loss = 1.755, wins per 10: 5, avg checkers diff: 2.8
epoch: 190, loss = 1.512, wins per 10: 7, avg checkers diff: 8.0
epoch: 200, loss = 0.763, wins per 10: 8, avg checkers diff: 8.1
finished testing
epoch: 210, loss = 0.582, wins per 10: 9, avg checkers diff: 11.8
epoch: 220, loss = 2.081, wins per 10: 7, avg checkers diff: 6.4
epoch: 230, loss = 0.673, wins per 10: 7, avg checkers diff: 9.2
epoch: 240, loss = 0.400, wins per 10: 7, avg checkers diff: 5.0
epoch: 250, loss = 1.426, wins per 10: 6, avg checkers diff: 5.6
epoch: 260, loss = 0.926, wins per 10: 5, avg checkers diff: 2.6
epoch: 270, loss = 1.433, wins per 10: 7, avg checkers diff: 5.7
epoch: 280, loss = 0.879, wins per 10: 8, avg checkers diff: 9.0
epoch: 290, loss = 0.943, wins per 10: 4, avg checkers diff: -1.2
epoch: 300, loss = 0.616, wins per 10: 6, avg checkers diff: 4.1
epoch: 310, loss = 0.890, wins per 10: 7, avg checkers diff: 6.9
epoch: 320, loss = 2.399, wins per 10: 4, avg checkers diff: -0.2
epoch: 330, loss = 0.686, wins per 10: 6, avg checkers diff: 4.2
epoch: 340, loss = 1.116, wins per 10: 9, avg checkers diff: 11.2
epoch: 350, loss = 1.041, wins per 10: 6, avg checkers diff: 4.9
epoch: 360, loss = 1.660, wins per 10: 7, avg checkers diff: 2.4
epoch: 370, loss = 1.330, wins per 10: 6, avg checkers diff: 2.6
epoch: 380, loss = 0.847, wins per 10: 8, avg checkers diff: 8.3
epoch: 390, loss = 0.976, wins per 10: 7, avg checkers diff: 5.7
epoch: 400, loss = 1.625, wins per 10: 9, avg checkers diff: 8.1
finished testing
epoch: 410, loss = 2.462, wins per 10: 9, avg checkers diff: 9.9
epoch: 420, loss = 3.394, wins per 10: 6, avg checkers diff: 1.3
