2025-04-18 17:30:31,203 INFO    MainThread:18724 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-18 17:30:31,204 INFO    MainThread:18724 [wandb_setup.py:_flush():67] Configure stats pid to 18724
2025-04-18 17:30:31,204 INFO    MainThread:18724 [wandb_setup.py:_flush():67] Loading settings from C:\Users\user\.config\wandb\settings
2025-04-18 17:30:31,204 INFO    MainThread:18724 [wandb_setup.py:_flush():67] Loading settings from C:\Users\user\VS Code\VS Python\Backgammon\wandb\settings
2025-04-18 17:30:31,204 INFO    MainThread:18724 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-18 17:30:31,204 INFO    MainThread:18724 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\user\VS Code\VS Python\Backgammon\wandb\run-20250418_173031-Backgammon -rndTest9\logs\debug.log
2025-04-18 17:30:31,204 INFO    MainThread:18724 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\user\VS Code\VS Python\Backgammon\wandb\run-20250418_173031-Backgammon -rndTest9\logs\debug-internal.log
2025-04-18 17:30:31,205 INFO    MainThread:18724 [wandb_init.py:init():761] calling init triggers
2025-04-18 17:30:31,205 INFO    MainThread:18724 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'name': 'Backgammon -rndTest9', 'checkpoint': 'Data/Player1/checkpoint-rndTest9.pth', 'learning_rate': 0.001, 'scheduler': 'step size = 1500, gamma = 0.95', 'epochs': 10000, 'start_epoch': 0, 'decay': 500, 'gamma': 0.95, 'batch_size': 32, 'C': 8, 'model': 'DQN(\n  (linear1): Linear(in_features=34, out_features=128, bias=True)\n  (linear2): Linear(in_features=128, out_features=128, bias=True)\n  (linear3): Linear(in_features=128, out_features=64, bias=True)\n  (output): Linear(in_features=64, out_features=1, bias=True)\n)', 'device': 'cuda', '_wandb': {}}
2025-04-18 17:30:31,205 INFO    MainThread:18724 [wandb_init.py:init():784] starting backend
2025-04-18 17:30:31,205 INFO    MainThread:18724 [wandb_init.py:init():788] sending inform_init request
2025-04-18 17:30:31,222 INFO    MainThread:18724 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-18 17:30:31,223 INFO    MainThread:18724 [wandb_init.py:init():798] backend started and connected
2025-04-18 17:30:31,224 INFO    MainThread:18724 [wandb_init.py:init():891] updated telemetry
2025-04-18 17:30:31,289 INFO    MainThread:18724 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
