epoch: 10, wins per 10: 9, avg checkers diff: 10.0
epoch: 20, wins per 10: 7, avg checkers diff: 6.3
epoch: 30, wins per 10: 5, avg checkers diff: 1.3
epoch: 40, wins per 10: 7, avg checkers diff: 5.4
epoch: 50, wins per 10: 8, avg checkers diff: 7.6
epoch: 60, wins per 10: 10, avg checkers diff: 12.8
epoch: 70, wins per 10: 10, avg checkers diff: 13.6
epoch: 80, wins per 10: 5, avg checkers diff: -0.3
epoch: 90, wins per 10: 9, avg checkers diff: 9.6
epoch: 100, wins per 100: 75, avg checkers diff: 6.83
epoch: 110, wins per 10: 7, avg checkers diff: 5.2
epoch: 120, wins per 10: 10, avg checkers diff: 12.7
epoch: 130, wins per 10: 9, avg checkers diff: 10.4
epoch: 140, wins per 10: 8, avg checkers diff: 8.3
epoch: 150, wins per 10: 9, avg checkers diff: 10.9
epoch: 160, wins per 10: 9, avg checkers diff: 7.6
epoch: 170, wins per 10: 7, avg checkers diff: 6.9
