epoch: 10, wins per 10: 8, avg checkers diff: 6.3
epoch: 20, wins per 10: 10, avg checkers diff: 9.8
epoch: 30, wins per 10: 8, avg checkers diff: 8.2
epoch: 40, wins per 10: 8, avg checkers diff: 10.5
epoch: 50, wins per 10: 10, avg checkers diff: 11.2
epoch: 60, wins per 10: 8, avg checkers diff: 11.2
epoch: 70, wins per 10: 9, avg checkers diff: 9.2
epoch: 80, wins per 10: 8, avg checkers diff: 7.2
epoch: 90, wins per 10: 7, avg checkers diff: 6.8
epoch: 100, wins per 100: 84, avg checkers diff: 8.94
epoch: 110, wins per 10: 8, avg checkers diff: 8.9
epoch: 120, wins per 10: 8, avg checkers diff: 7.8
epoch: 130, wins per 10: 8, avg checkers diff: 6.5
epoch: 140, wins per 10: 10, avg checkers diff: 13.5
epoch: 150, wins per 10: 7, avg checkers diff: 5.8
epoch: 160, wins per 10: 7, avg checkers diff: 6.9
epoch: 170, wins per 10: 8, avg checkers diff: 6.9
