epoch: 10, wins per 10: 9, avg checkers diff: 10.5
epoch: 920, loss = 2.868, wins per 10: 7, avg checkers diff: 5.8
epoch: 930, loss = 1.902, wins per 10: 9, avg checkers diff: 8.6
epoch: 940, loss = 2.765, wins per 10: 7, avg checkers diff: 7.0
epoch: 950, loss = 1.796, wins per 10: 7, avg checkers diff: 7.4
epoch: 960, loss = 2.390, wins per 10: 8, avg checkers diff: 8.5
epoch: 970, loss = 1.977, wins per 10: 6, avg checkers diff: 3.7
epoch: 980, loss = 0.828, wins per 10: 9, avg checkers diff: 7.1
epoch: 990, loss = 1.571, wins per 10: 9, avg checkers diff: 10.1
epoch: 1000, loss = 2.697, wins per 100: 76, avg checkers diff: 7.2
finished testing: 80.0 %
saved checkpoint
epoch: 1010, loss = 1.681, wins per 10: 8, avg checkers diff: 10.9
epoch: 1020, loss = 2.430, wins per 10: 8, avg checkers diff: 7.1
epoch: 1030, loss = 2.184, wins per 10: 8, avg checkers diff: 6.3
epoch: 1040, loss = 4.070, wins per 10: 6, avg checkers diff: 4.1
epoch: 1050, loss = 3.967, wins per 10: 7, avg checkers diff: 8.2
epoch: 1060, loss = 2.205, wins per 10: 8, avg checkers diff: 5.3
epoch: 1070, loss = 2.621, wins per 10: 8, avg checkers diff: 6.8
epoch: 1080, loss = 2.754, wins per 10: 8, avg checkers diff: 5.4
epoch: 1090, loss = 3.312, wins per 10: 8, avg checkers diff: 6.8
epoch: 1100, loss = 4.243, wins per 100: 77, avg checkers diff: 6.98
epoch: 1110, loss = 3.128, wins per 10: 9, avg checkers diff: 7.5
epoch: 1120, loss = 3.135, wins per 10: 10, avg checkers diff: 9.0
epoch: 1130, loss = 3.280, wins per 10: 10, avg checkers diff: 12.2
epoch: 1140, loss = 3.371, wins per 10: 5, avg checkers diff: 1.9
epoch: 1150, loss = 1.849, wins per 10: 10, avg checkers diff: 10.6
epoch: 1160, loss = 1.695, wins per 10: 5, avg checkers diff: 0.9
epoch: 1170, loss = 3.071, wins per 10: 9, avg checkers diff: 10.2
epoch: 1180, loss = 3.533, wins per 10: 4, avg checkers diff: -1.4
epoch: 1190, loss = 5.219, wins per 10: 9, avg checkers diff: 12.9
epoch: 1200, loss = 2.538, wins per 100: 79, avg checkers diff: 7.04
finished testing: 75.0 %
epoch: 1210, loss = 3.221, wins per 10: 8, avg checkers diff: 8.1
epoch: 1220, loss = 3.232, wins per 10: 7, avg checkers diff: 6.1
epoch: 1230, loss = 2.703, wins per 10: 7, avg checkers diff: 5.3
epoch: 1240, loss = 4.019, wins per 10: 7, avg checkers diff: 7.2
epoch: 1250, loss = 7.926, wins per 10: 7, avg checkers diff: 5.0
epoch: 1260, loss = 2.768, wins per 10: 7, avg checkers diff: 6.5
epoch: 1270, loss = 4.279, wins per 10: 7, avg checkers diff: 5.4
epoch: 1280, loss = 2.176, wins per 10: 7, avg checkers diff: 4.3
epoch: 1290, loss = 2.199, wins per 10: 7, avg checkers diff: 5.4
epoch: 1300, loss = 2.611, wins per 100: 73, avg checkers diff: 6.16
epoch: 1310, loss = 3.864, wins per 10: 7, avg checkers diff: 3.1
epoch: 1320, loss = 2.538, wins per 10: 9, avg checkers diff: 9.5
epoch: 1330, loss = 5.188, wins per 10: 7, avg checkers diff: 3.0
epoch: 1340, loss = 3.633, wins per 10: 6, avg checkers diff: 4.1
epoch: 1350, loss = 9.312, wins per 10: 9, avg checkers diff: 12.0
epoch: 1360, loss = 8.370, wins per 10: 9, avg checkers diff: 10.4
epoch: 1370, loss = 3.481, wins per 10: 8, avg checkers diff: 7.1
epoch: 1380, loss = 4.659, wins per 10: 6, avg checkers diff: 3.7
epoch: 1390, loss = 4.394, wins per 10: 8, avg checkers diff: 9.1
epoch: 1400, loss = 4.960, wins per 100: 76, avg checkers diff: 6.59
finished testing: 73.0 %
epoch: 1410, loss = 4.064, wins per 10: 8, avg checkers diff: 8.5
epoch: 1420, loss = 3.862, wins per 10: 6, avg checkers diff: 2.9
epoch: 1430, loss = 7.109, wins per 10: 9, avg checkers diff: 10.9
epoch: 1440, loss = 3.673, wins per 10: 7, avg checkers diff: 5.8
epoch: 1450, loss = 7.299, wins per 10: 8, avg checkers diff: 6.9
epoch: 1460, loss = 5.072, wins per 10: 6, avg checkers diff: 2.2
epoch: 1470, loss = 4.334, wins per 10: 9, avg checkers diff: 7.6
epoch: 1480, loss = 9.187, wins per 10: 5, avg checkers diff: 3.3
epoch: 1490, loss = 3.351, wins per 10: 8, avg checkers diff: 6.4
epoch: 1500, loss = 2.313, wins per 100: 74, avg checkers diff: 6.24
epoch: 1510, loss = 6.247, wins per 10: 6, avg checkers diff: 0.9
epoch: 1520, loss = 3.774, wins per 10: 7, avg checkers diff: 3.3
epoch: 1530, loss = 4.477, wins per 10: 5, avg checkers diff: 2.5
epoch: 1540, loss = 2.492, wins per 10: 7, avg checkers diff: 4.7
epoch: 1550, loss = 5.103, wins per 10: 7, avg checkers diff: 3.9
epoch: 1560, loss = 1.486, wins per 10: 7, avg checkers diff: 2.7
epoch: 1570, loss = 3.483, wins per 10: 8, avg checkers diff: 9.2
epoch: 1580, loss = 8.064, wins per 10: 9, avg checkers diff: 8.0
epoch: 1590, loss = 3.720, wins per 10: 8, avg checkers diff: 8.4
epoch: 1600, loss = 3.517, wins per 100: 70, avg checkers diff: 4.83
finished testing: 76.0 %
epoch: 1610, loss = 2.793, wins per 10: 7, avg checkers diff: 6.3
epoch: 1620, loss = 4.577, wins per 10: 8, avg checkers diff: 7.6
epoch: 1630, loss = 3.258, wins per 10: 5, avg checkers diff: 4.7
epoch: 1640, loss = 3.582, wins per 10: 7, avg checkers diff: 6.3
epoch: 1650, loss = 3.713, wins per 10: 7, avg checkers diff: 3.0
epoch: 1660, loss = 4.004, wins per 10: 7, avg checkers diff: 5.4
epoch: 1670, loss = 2.613, wins per 10: 8, avg checkers diff: 9.2
epoch: 1680, loss = 4.359, wins per 10: 7, avg checkers diff: 3.9
epoch: 1690, loss = 5.291, wins per 10: 8, avg checkers diff: 5.8
epoch: 1700, loss = 2.291, wins per 100: 71, avg checkers diff: 5.81
epoch: 1710, loss = 5.236, wins per 10: 10, avg checkers diff: 12.2
epoch: 1720, loss = 4.834, wins per 10: 6, avg checkers diff: 1.7
epoch: 1730, loss = 4.108, wins per 10: 8, avg checkers diff: 9.5
epoch: 1740, loss = 5.960, wins per 10: 7, avg checkers diff: 7.1
epoch: 1750, loss = 5.616, wins per 10: 8, avg checkers diff: 9.4
epoch: 1760, loss = 4.838, wins per 10: 8, avg checkers diff: 7.6
epoch: 1770, loss = 4.387, wins per 10: 6, avg checkers diff: 3.8
epoch: 1780, loss = 1.480, wins per 10: 8, avg checkers diff: 8.6
