epoch: 10, wins per 10: 7, avg checkers diff: 5.0
epoch: 20, wins per 10: 9, avg checkers diff: 11.7
epoch: 30, wins per 10: 7, avg checkers diff: 5.0
epoch: 40, wins per 10: 5, avg checkers diff: 2.9
epoch: 50, wins per 10: 7, avg checkers diff: 6.5
epoch: 60, wins per 10: 7, avg checkers diff: 8.0
epoch: 70, wins per 10: 7, avg checkers diff: 8.8
epoch: 80, wins per 10: 6, avg checkers diff: 4.1
epoch: 90, wins per 10: 8, avg checkers diff: 9.1
epoch: 100, wins per 100: 69, avg checkers diff: 6.47
epoch: 110, wins per 10: 9, avg checkers diff: 7.9
epoch: 120, wins per 10: 7, avg checkers diff: 3.5
epoch: 130, wins per 10: 8, avg checkers diff: 8.3
epoch: 140, wins per 10: 8, avg checkers diff: 6.8
epoch: 150, wins per 10: 6, avg checkers diff: 5.1
epoch: 160, wins per 10: 8, avg checkers diff: 7.0
epoch: 170, wins per 10: 7, avg checkers diff: 4.4
epoch: 180, wins per 10: 9, avg checkers diff: 12.2
epoch: 190, wins per 10: 8, avg checkers diff: 7.7
epoch: 200, wins per 100: 76, avg checkers diff: 6.6
finished testing: 75.0 %
epoch: 210, wins per 10: 8, avg checkers diff: 7.8
epoch: 220, wins per 10: 8, avg checkers diff: 8.8
epoch: 230, wins per 10: 10, avg checkers diff: 12.3
epoch: 240, wins per 10: 10, avg checkers diff: 10.3
epoch: 250, wins per 10: 9, avg checkers diff: 10.5
epoch: 260, wins per 10: 8, avg checkers diff: 10.1
epoch: 270, wins per 10: 7, avg checkers diff: 6.1
epoch: 280, wins per 10: 7, avg checkers diff: 6.6
epoch: 290, wins per 10: 7, avg checkers diff: 4.6
epoch: 300, wins per 100: 83, avg checkers diff: 8.89
epoch: 310, wins per 10: 7, avg checkers diff: 2.7
epoch: 320, wins per 10: 6, avg checkers diff: 3.6
epoch: 330, wins per 10: 8, avg checkers diff: 6.5
epoch: 340, wins per 10: 8, avg checkers diff: 8.1
epoch: 350, wins per 10: 9, avg checkers diff: 10.1
epoch: 360, wins per 10: 5, avg checkers diff: 1.8
epoch: 370, wins per 10: 5, avg checkers diff: 2.9
