epoch: 10, wins per 10: 8, avg checkers diff: 6.3
epoch: 20, wins per 10: 9, avg checkers diff: 8.7
epoch: 30, wins per 10: 7, avg checkers diff: 5.9
epoch: 40, wins per 10: 8, avg checkers diff: 7.4
epoch: 50, wins per 10: 8, avg checkers diff: 8.5
epoch: 60, wins per 10: 7, avg checkers diff: 4.9
epoch: 70, wins per 10: 7, avg checkers diff: 6.8
epoch: 80, wins per 10: 5, avg checkers diff: 0.7
epoch: 90, wins per 10: 7, avg checkers diff: 6.2
epoch: 100, wins per 100: 73, avg checkers diff: 6.07
epoch: 110, wins per 10: 6, avg checkers diff: 3.7
epoch: 120, wins per 10: 9, avg checkers diff: 5.3
epoch: 130, wins per 10: 8, avg checkers diff: 7.4
epoch: 140, wins per 10: 8, avg checkers diff: 10.2
epoch: 150, wins per 10: 9, avg checkers diff: 10.0
epoch: 160, wins per 10: 8, avg checkers diff: 5.7
epoch: 170, wins per 10: 8, avg checkers diff: 8.0
epoch: 180, wins per 10: 7, avg checkers diff: 3.8
epoch: 190, wins per 10: 5, avg checkers diff: 2.4
epoch: 200, wins per 100: 77, avg checkers diff: 6.93
finished testing: 77.0 %
epoch: 210, wins per 10: 7, avg checkers diff: 5.1
epoch: 220, wins per 10: 9, avg checkers diff: 10.3
epoch: 230, wins per 10: 9, avg checkers diff: 11.5
epoch: 240, wins per 10: 8, avg checkers diff: 7.5
epoch: 250, wins per 10: 6, avg checkers diff: 5.7
epoch: 260, wins per 10: 8, avg checkers diff: 8.6
epoch: 270, wins per 10: 8, avg checkers diff: 9.9
epoch: 280, wins per 10: 9, avg checkers diff: 6.4
epoch: 290, wins per 10: 8, avg checkers diff: 4.5
epoch: 300, wins per 100: 81, avg checkers diff: 7.84
