epoch: 1830, loss = 3.753, wins per 10: 1, avg checkers diff: -3.9
epoch: 1840, loss = 4.739, wins per 10: 2, avg checkers diff: -6.7
epoch: 1850, loss = 4.656, wins per 10: 2, avg checkers diff: -8.1
epoch: 1860, loss = 10.503, wins per 10: 3, avg checkers diff: -5.9
epoch: 1870, loss = 12.919, wins per 10: 5, avg checkers diff: -3.2
epoch: 1880, loss = 15.319, wins per 10: 3, avg checkers diff: -5.3
epoch: 1890, loss = 8.840, wins per 10: 2, avg checkers diff: -9.0
epoch: 1900, loss = 3.101, wins per 100: 23, avg checkers diff: -6.67
epoch: 1910, loss = 3.230, wins per 10: 1, avg checkers diff: -9.9
epoch: 1920, loss = 12.120, wins per 10: 4, avg checkers diff: -4.8
epoch: 1930, loss = 2.846, wins per 10: 3, avg checkers diff: -4.0
epoch: 1940, loss = 8.329, wins per 10: 2, avg checkers diff: -7.6
epoch: 1950, loss = 4.462, wins per 10: 4, avg checkers diff: -3.2
epoch: 1960, loss = 8.829, wins per 10: 0, avg checkers diff: -11.8
epoch: 1970, loss = 2.041, wins per 10: 2, avg checkers diff: -5.1
epoch: 1980, loss = 13.893, wins per 10: 3, avg checkers diff: -4.6
epoch: 1990, loss = 3.692, wins per 10: 2, avg checkers diff: -7.3
epoch: 2000, loss = 12.709, wins per 100: 23, avg checkers diff: -6.59
finished testing: 32.0 %
saved checkpoint
epoch: 2010, loss = 3.325, wins per 10: 2, avg checkers diff: -8.4
epoch: 2020, loss = 4.253, wins per 10: 3, avg checkers diff: -5.8
epoch: 2030, loss = 9.669, wins per 10: 1, avg checkers diff: -5.9
epoch: 2040, loss = 4.853, wins per 10: 4, avg checkers diff: -0.4
epoch: 2050, loss = 2.607, wins per 10: 1, avg checkers diff: -9.1
epoch: 2060, loss = 6.864, wins per 10: 4, avg checkers diff: -1.8
epoch: 2070, loss = 2.728, wins per 10: 1, avg checkers diff: -10.2
epoch: 2080, loss = 11.923, wins per 10: 1, avg checkers diff: -9.4
epoch: 2090, loss = 7.486, wins per 10: 4, avg checkers diff: -2.9
epoch: 2100, loss = 4.577, wins per 100: 23, avg checkers diff: -6.16
epoch: 2110, loss = 6.569, wins per 10: 4, avg checkers diff: -2.6
epoch: 2120, loss = 4.575, wins per 10: 0, avg checkers diff: -12.9
epoch: 2130, loss = 3.505, wins per 10: 3, avg checkers diff: -6.5
epoch: 2140, loss = 10.734, wins per 10: 2, avg checkers diff: -5.3
epoch: 2150, loss = 4.420, wins per 10: 1, avg checkers diff: -11.0
epoch: 2160, loss = 4.374, wins per 10: 0, avg checkers diff: -10.7
epoch: 2170, loss = 5.623, wins per 10: 1, avg checkers diff: -11.7
epoch: 2180, loss = 3.328, wins per 10: 5, avg checkers diff: 1.0
epoch: 2190, loss = 8.850, wins per 10: 3, avg checkers diff: -5.8
epoch: 2200, loss = 4.148, wins per 100: 21, avg checkers diff: -7.27
finished testing: 30.0 %
epoch: 2210, loss = 6.434, wins per 10: 3, avg checkers diff: -5.2
epoch: 2220, loss = 2.139, wins per 10: 4, avg checkers diff: 1.3
epoch: 2230, loss = 3.620, wins per 10: 1, avg checkers diff: -10.3
epoch: 2240, loss = 6.481, wins per 10: 5, avg checkers diff: -0.8
epoch: 2250, loss = 2.342, wins per 10: 3, avg checkers diff: -2.9
epoch: 2260, loss = 2.736, wins per 10: 2, avg checkers diff: -8.1
