epoch: 10, wins per 10: 4, avg checkers diff: -5.0
epoch: 20, wins per 10: 4, avg checkers diff: -3.4
epoch: 30, wins per 10: 6, avg checkers diff: 5.6
epoch: 40, wins per 10: 6, avg checkers diff: 1.9
epoch: 50, wins per 10: 4, avg checkers diff: -4.3
epoch: 60, wins per 10: 8, avg checkers diff: 9.3
epoch: 70, wins per 10: 4, avg checkers diff: -2.1
epoch: 80, wins per 10: 5, avg checkers diff: 3.3
epoch: 90, wins per 10: 6, avg checkers diff: 1.1
epoch: 880, loss = 1.355, wins per 10: 9, avg checkers diff: 9.9
epoch: 890, loss = 1.084, wins per 10: 8, avg checkers diff: 7.3
epoch: 900, loss = 3.710, wins per 10: 5, avg checkers diff: 2.5
epoch: 910, loss = 0.966, wins per 10: 8, avg checkers diff: 8.6
epoch: 920, loss = 1.199, wins per 10: 5, avg checkers diff: 1.1
epoch: 930, loss = 2.874, wins per 10: 9, avg checkers diff: 9.4
epoch: 940, loss = 0.993, wins per 10: 7, avg checkers diff: 6.6
epoch: 950, loss = 0.601, wins per 10: 6, avg checkers diff: 2.9
epoch: 960, loss = 1.705, wins per 10: 8, avg checkers diff: 4.7
epoch: 970, loss = 1.705, wins per 10: 4, avg checkers diff: -1.3
epoch: 980, loss = 1.671, wins per 10: 8, avg checkers diff: 7.9
epoch: 990, loss = 3.141, wins per 10: 4, avg checkers diff: -0.3
epoch: 1000, loss = 2.261, wins per 10: 8, avg checkers diff: 8.3
finished testing
saved checkpoint
epoch: 1010, loss = 2.437, wins per 10: 9, avg checkers diff: 11.5
epoch: 1020, loss = 1.914, wins per 10: 10, avg checkers diff: 11.8
epoch: 1030, loss = 1.282, wins per 10: 6, avg checkers diff: 3.6
epoch: 1040, loss = 2.145, wins per 10: 8, avg checkers diff: 6.2
epoch: 1050, loss = 2.632, wins per 10: 7, avg checkers diff: 4.6
epoch: 1060, loss = 3.087, wins per 10: 5, avg checkers diff: -1.2
epoch: 1070, loss = 1.051, wins per 10: 9, avg checkers diff: 8.4
epoch: 1080, loss = 2.188, wins per 10: 7, avg checkers diff: 7.4
