epoch: 10, wins per 10: 10, avg checkers diff: 11.5
epoch: 20, wins per 10: 9, avg checkers diff: 10.9
epoch: 30, wins per 10: 6, avg checkers diff: 4.3
epoch: 40, wins per 10: 9, avg checkers diff: 9.7
epoch: 50, wins per 10: 8, avg checkers diff: 8.2
epoch: 60, wins per 10: 5, avg checkers diff: 1.7
epoch: 70, wins per 10: 9, avg checkers diff: 9.4
epoch: 80, wins per 10: 6, avg checkers diff: 2.7
epoch: 90, wins per 10: 7, avg checkers diff: 7.9
epoch: 100, wins per 100: 78, avg checkers diff: 7.79
epoch: 110, wins per 10: 8, avg checkers diff: 8.3
epoch: 120, wins per 10: 9, avg checkers diff: 9.4
