epoch: 10, wins per 10: 9, avg checkers diff: 7.8
epoch: 20, wins per 10: 7, avg checkers diff: 6.1
epoch: 30, wins per 10: 9, avg checkers diff: 10.6
epoch: 40, wins per 10: 10, avg checkers diff: 12.9
epoch: 50, wins per 10: 4, avg checkers diff: 1.3
epoch: 60, wins per 10: 9, avg checkers diff: 8.5
epoch: 70, wins per 10: 9, avg checkers diff: 10.5
epoch: 80, wins per 10: 8, avg checkers diff: 9.9
epoch: 90, wins per 10: 7, avg checkers diff: 5.0
epoch: 100, wins per 100: 81, avg checkers diff: 8.38
epoch: 110, wins per 10: 9, avg checkers diff: 7.3
epoch: 120, wins per 10: 8, avg checkers diff: 7.0
epoch: 130, wins per 10: 8, avg checkers diff: 7.3
epoch: 140, wins per 10: 9, avg checkers diff: 8.0
epoch: 150, wins per 10: 8, avg checkers diff: 6.2
epoch: 160, wins per 10: 6, avg checkers diff: 4.2
epoch: 170, wins per 10: 9, avg checkers diff: 11.0
epoch: 180, wins per 10: 8, avg checkers diff: 5.8
