C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch: 850, loss = 3.019, wins per 10: 4, avg checkers diff: -3.4
epoch: 860, loss = 1.815, wins per 10: 4, avg checkers diff: -2.3
epoch: 870, loss = 2.630, wins per 10: 4, avg checkers diff: -4.0
epoch: 880, loss = 1.417, wins per 10: 4, avg checkers diff: -1.8
epoch: 890, loss = 1.718, wins per 10: 3, avg checkers diff: -4.0
epoch: 900, loss = 1.566, wins per 100: 39, avg checkers diff: -2.62
epoch: 910, loss = 1.431, wins per 10: 2, avg checkers diff: -7.5
epoch: 920, loss = 7.604, wins per 10: 6, avg checkers diff: 1.8
epoch: 930, loss = 4.838, wins per 10: 3, avg checkers diff: -3.8
epoch: 940, loss = 4.126, wins per 10: 6, avg checkers diff: 2.2
epoch: 950, loss = 3.553, wins per 10: 6, avg checkers diff: 1.5
epoch: 960, loss = 3.240, wins per 10: 5, avg checkers diff: 0.9
epoch: 970, loss = 5.217, wins per 10: 5, avg checkers diff: -1.1
epoch: 980, loss = 2.186, wins per 10: 4, avg checkers diff: 0.1
epoch: 990, loss = 1.259, wins per 10: 3, avg checkers diff: -2.7
epoch: 1000, loss = 2.707, wins per 100: 41, avg checkers diff: -1.89
finished testing: 37.666666666666664 %
saved checkpoint
epoch: 1010, loss = 1.048, wins per 10: 6, avg checkers diff: 1.6
epoch: 1020, loss = 2.075, wins per 10: 4, avg checkers diff: -1.8
epoch: 1030, loss = 2.861, wins per 10: 5, avg checkers diff: -0.1
epoch: 1040, loss = 2.062, wins per 10: 4, avg checkers diff: -4.5
epoch: 1050, loss = 2.455, wins per 10: 3, avg checkers diff: -3.7
epoch: 1060, loss = 2.697, wins per 10: 6, avg checkers diff: 1.4
epoch: 1070, loss = 2.095, wins per 10: 4, avg checkers diff: -3.4
epoch: 1080, loss = 2.952, wins per 10: 5, avg checkers diff: -2.1
epoch: 1090, loss = 5.556, wins per 10: 1, avg checkers diff: -7.2
epoch: 1100, loss = 2.121, wins per 100: 42, avg checkers diff: -2.2
epoch: 1110, loss = 1.469, wins per 10: 7, avg checkers diff: 3.6
epoch: 1120, loss = 4.230, wins per 10: 2, avg checkers diff: -8.8
epoch: 1130, loss = 2.692, wins per 10: 2, avg checkers diff: -7.2
epoch: 1140, loss = 2.305, wins per 10: 3, avg checkers diff: -5.0
epoch: 1150, loss = 3.682, wins per 10: 2, avg checkers diff: -5.4
epoch: 1160, loss = 3.349, wins per 10: 3, avg checkers diff: -2.4
epoch: 1170, loss = 3.358, wins per 10: 3, avg checkers diff: -5.9
epoch: 1180, loss = 2.041, wins per 10: 5, avg checkers diff: 0.2
epoch: 1190, loss = 2.409, wins per 10: 3, avg checkers diff: -7.2
epoch: 1200, loss = 2.802, wins per 100: 32, avg checkers diff: -4.45
finished testing: 31.333333333333336 %
epoch: 1210, loss = 2.267, wins per 10: 5, avg checkers diff: 2.6
epoch: 1220, loss = 3.005, wins per 10: 0, avg checkers diff: -11.3
epoch: 1230, loss = 3.550, wins per 10: 3, avg checkers diff: -5.5
epoch: 1240, loss = 2.287, wins per 10: 4, avg checkers diff: -0.8
epoch: 1250, loss = 2.712, wins per 10: 2, avg checkers diff: -5.3
epoch: 1260, loss = 3.202, wins per 10: 2, avg checkers diff: -6.6
epoch: 1270, loss = 4.536, wins per 10: 1, avg checkers diff: -7.5
epoch: 1280, loss = 3.963, wins per 10: 6, avg checkers diff: 1.5
epoch: 1290, loss = 3.321, wins per 10: 3, avg checkers diff: -5.9
epoch: 1300, loss = 2.896, wins per 100: 29, avg checkers diff: -4.44
epoch: 1310, loss = 2.247, wins per 10: 3, avg checkers diff: -2.9
epoch: 1320, loss = 2.150, wins per 10: 6, avg checkers diff: 1.4
epoch: 1330, loss = 3.603, wins per 10: 4, avg checkers diff: -4.8
epoch: 1340, loss = 4.243, wins per 10: 5, avg checkers diff: -0.6
epoch: 1350, loss = 3.107, wins per 10: 6, avg checkers diff: 2.1
epoch: 1360, loss = 2.703, wins per 10: 4, avg checkers diff: -4.6
epoch: 1370, loss = 3.383, wins per 10: 3, avg checkers diff: -6.7
epoch: 1380, loss = 3.988, wins per 10: 6, avg checkers diff: 0.2
epoch: 1390, loss = 3.292, wins per 10: 3, avg checkers diff: -5.9
epoch: 1400, loss = 2.622, wins per 100: 43, avg checkers diff: -2.6
finished testing: 43.333333333333336 %
epoch: 1410, loss = 4.401, wins per 10: 1, avg checkers diff: -8.3
