epoch: 2010, loss = 1.035, wins per 10: 0, avg checkers diff: -12.1
epoch: 2020, loss = 2.900, wins per 10: 2, avg checkers diff: -8.0
epoch: 2030, loss = 11.183, wins per 10: 1, avg checkers diff: -8.5
epoch: 2040, loss = 1.059, wins per 10: 3, avg checkers diff: -6.0
epoch: 2050, loss = 2.705, wins per 10: 1, avg checkers diff: -7.5
epoch: 2060, loss = 1.463, wins per 10: 1, avg checkers diff: -9.5
epoch: 2070, loss = 2.145, wins per 10: 1, avg checkers diff: -10.5
epoch: 2080, loss = 1.418, wins per 10: 2, avg checkers diff: -7.5
epoch: 2090, loss = 8.271, wins per 10: 1, avg checkers diff: -7.6
epoch: 2100, loss = 1.242, wins per 10: 0, avg checkers diff: -13.3
epoch: 2110, loss = 1.845, wins per 10: 3, avg checkers diff: -6.8
epoch: 2120, loss = 2.369, wins per 10: 1, avg checkers diff: -7.4
epoch: 2130, loss = 6.928, wins per 10: 4, avg checkers diff: -4.3
epoch: 2140, loss = 2.040, wins per 10: 0, avg checkers diff: -14.9
epoch: 2150, loss = 8.902, wins per 10: 1, avg checkers diff: -9.3
epoch: 2160, loss = 1.976, wins per 10: 0, avg checkers diff: -12.5
epoch: 2170, loss = 2.543, wins per 10: 4, avg checkers diff: -4.5
epoch: 2180, loss = 1.505, wins per 10: 2, avg checkers diff: -9.0
epoch: 2190, loss = 1.369, wins per 10: 2, avg checkers diff: -7.2
epoch: 2200, loss = 1.267, wins per 10: 2, avg checkers diff: -6.8
finished testing
epoch: 2210, loss = 1.506, wins per 10: 3, avg checkers diff: -5.8
epoch: 2220, loss = 2.463, wins per 10: 7, avg checkers diff: 2.6
epoch: 2230, loss = 2.888, wins per 10: 4, avg checkers diff: -1.5
epoch: 2240, loss = 1.490, wins per 10: 1, avg checkers diff: -7.7
epoch: 2250, loss = 1.584, wins per 10: 4, avg checkers diff: -3.3
epoch: 2260, loss = 7.459, wins per 10: 1, avg checkers diff: -9.0
epoch: 2270, loss = 0.993, wins per 10: 3, avg checkers diff: -2.1
epoch: 2280, loss = 4.405, wins per 10: 2, avg checkers diff: -5.3
epoch: 2290, loss = 1.642, wins per 10: 5, avg checkers diff: 1.0
epoch: 2300, loss = 0.642, wins per 10: 1, avg checkers diff: -7.7
epoch: 2310, loss = 1.329, wins per 10: 3, avg checkers diff: -5.7
epoch: 2320, loss = 1.194, wins per 10: 5, avg checkers diff: 1.1
epoch: 2330, loss = 1.632, wins per 10: 3, avg checkers diff: -5.3
epoch: 2340, loss = 0.834, wins per 10: 0, avg checkers diff: -13.4
