epoch: 970, loss = 3.171, wins per 10: 2, avg checkers diff: -4.4
epoch: 980, loss = 3.088, wins per 10: 2, avg checkers diff: -7.4
epoch: 990, loss = 3.344, wins per 10: 0, avg checkers diff: -12.1
epoch: 1000, loss = 4.598, wins per 100: 26, avg checkers diff: -6.83
finished testing: 27.0 %
saved checkpoint
epoch: 1010, loss = 3.408, wins per 10: 3, avg checkers diff: -4.2
epoch: 1020, loss = 7.681, wins per 10: 4, avg checkers diff: -1.9
epoch: 1030, loss = 3.838, wins per 10: 2, avg checkers diff: -7.0
epoch: 1040, loss = 3.047, wins per 10: 4, avg checkers diff: -5.0
epoch: 1050, loss = 6.993, wins per 10: 2, avg checkers diff: -6.5
epoch: 1060, loss = 4.691, wins per 10: 4, avg checkers diff: -3.7
epoch: 1070, loss = 3.146, wins per 10: 4, avg checkers diff: -4.5
epoch: 1080, loss = 2.836, wins per 10: 2, avg checkers diff: -8.3
epoch: 1090, loss = 9.132, wins per 10: 1, avg checkers diff: -8.9
epoch: 1100, loss = 3.457, wins per 100: 29, avg checkers diff: -5.71
epoch: 1110, loss = 3.996, wins per 10: 2, avg checkers diff: -8.2
epoch: 1120, loss = 4.378, wins per 10: 2, avg checkers diff: -7.4
epoch: 1130, loss = 5.670, wins per 10: 3, avg checkers diff: -4.8
epoch: 1140, loss = 4.047, wins per 10: 6, avg checkers diff: 0.2
epoch: 1150, loss = 4.980, wins per 10: 1, avg checkers diff: -9.4
epoch: 1160, loss = 5.243, wins per 10: 3, avg checkers diff: -7.2
epoch: 1170, loss = 4.362, wins per 10: 4, avg checkers diff: -4.8
epoch: 1180, loss = 1.910, wins per 10: 2, avg checkers diff: -6.1
epoch: 1190, loss = 4.980, wins per 10: 2, avg checkers diff: -7.2
epoch: 1200, loss = 7.087, wins per 100: 26, avg checkers diff: -6.27
finished testing: 24.0 %
epoch: 1210, loss = 3.497, wins per 10: 2, avg checkers diff: -7.0
epoch: 1220, loss = 4.334, wins per 10: 1, avg checkers diff: -10.5
epoch: 1230, loss = 5.798, wins per 10: 2, avg checkers diff: -8.8
epoch: 1240, loss = 4.684, wins per 10: 4, avg checkers diff: -2.8
epoch: 1250, loss = 4.234, wins per 10: 2, avg checkers diff: -6.4
epoch: 1260, loss = 3.296, wins per 10: 3, avg checkers diff: -5.9
epoch: 1270, loss = 5.272, wins per 10: 2, avg checkers diff: -7.8
epoch: 1280, loss = 3.415, wins per 10: 3, avg checkers diff: -6.1
epoch: 1290, loss = 6.010, wins per 10: 1, avg checkers diff: -10.6
epoch: 1300, loss = 4.642, wins per 100: 23, avg checkers diff: -7.27
epoch: 1310, loss = 2.055, wins per 10: 2, avg checkers diff: -8.3
epoch: 1320, loss = 6.099, wins per 10: 1, avg checkers diff: -10.6
epoch: 1330, loss = 2.305, wins per 10: 4, avg checkers diff: -1.4
