epoch: 10, wins per 10: 4, avg checkers diff: -2.0
epoch: 920, loss = 9.803, wins per 10: 5, avg checkers diff: -3.3
epoch: 930, loss = 7.151, wins per 10: 1, avg checkers diff: -11.8
epoch: 940, loss = 7.250, wins per 10: 4, avg checkers diff: -3.1
epoch: 950, loss = 5.354, wins per 10: 3, avg checkers diff: -4.8
epoch: 960, loss = 8.763, wins per 10: 4, avg checkers diff: -1.9
epoch: 970, loss = 12.977, wins per 10: 2, avg checkers diff: -7.8
epoch: 980, loss = 10.009, wins per 10: 0, avg checkers diff: -12.3
epoch: 990, loss = 11.428, wins per 10: 2, avg checkers diff: -7.8
epoch: 1000, loss = 7.361, wins per 100: 26, avg checkers diff: -6.36
finished testing: 26.333333333333332 %
saved checkpoint
epoch: 1010, loss = 7.089, wins per 10: 1, avg checkers diff: -11.7
epoch: 1020, loss = 9.553, wins per 10: 0, avg checkers diff: -11.5
epoch: 1030, loss = 4.852, wins per 10: 3, avg checkers diff: -7.3
epoch: 1040, loss = 5.797, wins per 10: 3, avg checkers diff: -6.1
epoch: 1050, loss = 8.068, wins per 10: 3, avg checkers diff: -3.1
epoch: 1060, loss = 7.980, wins per 10: 2, avg checkers diff: -10.4
epoch: 1070, loss = 9.246, wins per 10: 2, avg checkers diff: -8.1
epoch: 1080, loss = 10.815, wins per 10: 1, avg checkers diff: -11.9
epoch: 1090, loss = 10.932, wins per 10: 5, avg checkers diff: -2.2
epoch: 1100, loss = 5.376, wins per 100: 21, avg checkers diff: -8.31
epoch: 1110, loss = 5.772, wins per 10: 2, avg checkers diff: -8.4
epoch: 1120, loss = 10.762, wins per 10: 1, avg checkers diff: -11.4
epoch: 1130, loss = 4.513, wins per 10: 0, avg checkers diff: -13.6
epoch: 1140, loss = 8.714, wins per 10: 5, avg checkers diff: -2.2
epoch: 1150, loss = 3.814, wins per 10: 3, avg checkers diff: -3.5
epoch: 1160, loss = 3.356, wins per 10: 3, avg checkers diff: -7.3
epoch: 1170, loss = 3.757, wins per 10: 2, avg checkers diff: -9.2
epoch: 1180, loss = 4.133, wins per 10: 3, avg checkers diff: -4.3
epoch: 1190, loss = 7.996, wins per 10: 3, avg checkers diff: -7.2
epoch: 1200, loss = 11.615, wins per 100: 25, avg checkers diff: -7.12
finished testing: 24.666666666666668 %
epoch: 1210, loss = 3.776, wins per 10: 3, avg checkers diff: -7.9
epoch: 1220, loss = 6.129, wins per 10: 3, avg checkers diff: -8.5
epoch: 1230, loss = 7.714, wins per 10: 4, avg checkers diff: -2.8
epoch: 1240, loss = 5.656, wins per 10: 1, avg checkers diff: -10.0
epoch: 1250, loss = 8.608, wins per 10: 2, avg checkers diff: -7.3
epoch: 1260, loss = 8.402, wins per 10: 1, avg checkers diff: -10.7
epoch: 1270, loss = 6.689, wins per 10: 2, avg checkers diff: -7.8
epoch: 1280, loss = 7.480, wins per 10: 4, avg checkers diff: -1.2
epoch: 1290, loss = 6.922, wins per 10: 0, avg checkers diff: -13.7
epoch: 1300, loss = 6.073, wins per 100: 23, avg checkers diff: -7.75
epoch: 1310, loss = 8.443, wins per 10: 3, avg checkers diff: -5.6
epoch: 1320, loss = 7.089, wins per 10: 1, avg checkers diff: -12.3
epoch: 1330, loss = 13.346, wins per 10: 2, avg checkers diff: -6.7
epoch: 1340, loss = 5.793, wins per 10: 3, avg checkers diff: -5.9
epoch: 1350, loss = 4.666, wins per 10: 2, avg checkers diff: -7.8
